Frame,Time,m_avg_PelvisRotX,m_avg_PelvisRotY,m_avg_PelvisRotZ,m_avg_L_HipRotX,m_avg_L_HipRotY,m_avg_L_HipRotZ,m_avg_L_KneeRotX,m_avg_L_KneeRotY,m_avg_L_KneeRotZ,m_avg_L_AnkleRotX,m_avg_L_AnkleRotY,m_avg_L_AnkleRotZ,m_avg_L_FootRotX,m_avg_L_FootRotY,m_avg_L_FootRotZ,m_avg_R_HipRotX,m_avg_R_HipRotY,m_avg_R_HipRotZ,m_avg_R_KneeRotX,m_avg_R_KneeRotY,m_avg_R_KneeRotZ,m_avg_R_AnkleRotX,m_avg_R_AnkleRotY,m_avg_R_AnkleRotZ,m_avg_R_FootRotX,m_avg_R_FootRotY,m_avg_R_FootRotZ,m_avg_Spine1RotX,m_avg_Spine1RotY,m_avg_Spine1RotZ,m_avg_Spine2RotX,m_avg_Spine2RotY,m_avg_Spine2RotZ,m_avg_Spine3RotX,m_avg_Spine3RotY,m_avg_Spine3RotZ,m_avg_L_CollarRotX,m_avg_L_CollarRotY,m_avg_L_CollarRotZ,m_avg_L_ShoulderRotX,m_avg_L_ShoulderRotY,m_avg_L_ShoulderRotZ,m_avg_L_ElbowRotX,m_avg_L_ElbowRotY,m_avg_L_ElbowRotZ,m_avg_L_WristRotX,m_avg_L_WristRotY,m_avg_L_WristRotZ,m_avg_NeckRotX,m_avg_NeckRotY,m_avg_NeckRotZ,m_avg_HeadRotX,m_avg_HeadRotY,m_avg_HeadRotZ,m_avg_R_CollarRotX,m_avg_R_CollarRotY,m_avg_R_CollarRotZ,m_avg_R_ShoulderRotX,m_avg_R_ShoulderRotY,m_avg_R_ShoulderRotZ,m_avg_R_ElbowRotX,m_avg_R_ElbowRotY,m_avg_R_ElbowRotZ,m_avg_R_WristRotX,m_avg_R_WristRotY,m_avg_R_WristRotZ,
1,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,
2,0.02,5.524788,179.5241,358.2648,337.957,234.2427,289.4114,33.10404,217.6879,60.37864,3.754207,169.3769,355.5514,3.75421,169.3769,355.5514,344.853,135.0447,55.76069,44.74289,145.9531,299.3107,20.37956,172.2014,7.475382,19.75513,172.2962,7.751723,350.9544,180.7605,356.4025,350.9544,180.7605,356.4025,351.2211,178.7518,345.1039,351.2211,178.7518,345.1039,358.9387,184.8122,305.2773,355.9528,182.8777,311.5855,357.6088,160.0679,20.95325,330.7099,203.6095,318.4669,349.9984,184.2581,349.7338,351.2211,178.7518,345.1039,2.771868,166.2533,53.36,358.2875,169.5598,48.80589,341.5573,182.3568,351.7634,
3,0.12,4.771779,179.944,359.4416,336.3237,244.3496,269.8129,29.17034,209.8801,41.55811,3.753532,169.3721,355.553,3.753532,169.3721,355.553,341.1507,131.3196,60.60641,28.94226,142.7866,294.9683,21.86985,171.96,6.805787,19.75513,172.2962,7.751719,354.1964,180.3796,358.7786,354.1964,180.3796,358.7786,357.6822,178.5639,350.9959,357.6822,178.5639,350.9959,3.70188,181.221,304.9443,0.702163,179.3086,311.0927,357.5583,160.019,20.97339,339.8882,198.8134,326.0923,357.1686,181.4966,356.4845,357.6822,178.5639,350.9959,8.217954,169.6756,52.92456,3.749465,173.0218,48.68907,341.6644,182.3955,351.7347,
4,0.1390308,12.02226,179.8607,356.5043,358.803,211.4927,0.7427873,350.1283,182.2657,354.2168,23.5219,171.151,3.63254,3.757143,169.3896,355.5668,358.665,149.6256,355.6356,353.7459,179.0914,4.099822,60.67447,153.0545,334.9392,19.75513,175.2298,7.75172,351.0472,181.4985,356.5609,351.0472,181.4985,356.5609,7.617952,180.1221,357.0081,7.617952,180.1221,357.0081,8.690289,190.8238,351.3564,7.930782,162.2418,14.03557,357.6445,160.1779,20.79199,348.0293,187.0791,351.0064,1.437439,186.304,359.5544,7.617952,180.1221,357.0081,8.024465,166.5749,3.876743,7.590296,172.181,0.05416895,341.4588,182.434,351.6257,
5,0.1430591,13.69195,181.657,357.7354,357.8785,213.8386,356.2456,347.1433,185.1825,350.6606,30.58038,172.0636,6.634129,3.756978,169.3927,355.5663,356.9422,151.4843,355.2244,352.4494,181.0804,2.884323,59.00014,153.195,334.0175,19.75513,176.7993,7.751722,352.8349,183.3597,358.246,352.8349,183.3597,358.246,11.5024,183.5921,0.2564883,11.5024,183.5921,0.2564881,11.85855,183.8071,356.2583,11.33492,170.404,8.179205,357.5681,160.1968,20.76198,351.1424,192.2742,354.4121,0.4749589,196.5126,0.2253103,11.5024,183.5921,0.2564881,11.80414,168.1572,3.012073,11.78812,164.738,357.3497,341.4509,182.4294,351.6182,
6,0.1474158,13.74891,181.7205,357.7712,357.8408,213.9246,356.0545,347.0188,185.2956,350.5072,31.07179,172.152,6.861283,3.756976,169.3927,355.5663,357.0778,151.5321,355.2697,352.545,181.1165,2.991621,59.12523,153.6277,334.0891,19.75514,177.1233,7.751723,352.8871,183.4302,358.2945,352.8871,183.4302,358.2945,11.61338,183.7214,0.3594093,11.61338,183.7214,0.3594091,11.95309,183.2106,356.6662,11.46937,171.0258,7.77565,357.5681,160.1968,20.76198,351.2183,192.4747,354.4927,0.4460455,196.8855,0.1949846,11.61338,183.7214,0.3594091,11.95082,168.8223,3.131956,11.97039,163.8656,357.0891,341.4509,182.4294,351.6182,
7,0.1555876,13.76054,181.7641,357.7734,357.8346,213.9762,355.9735,346.9745,185.3599,350.4373,31.37447,172.2099,7.001928,3.758152,169.3952,355.5666,357.2638,151.5602,355.3233,352.6804,181.1293,3.131131,59.29767,154.1265,334.1793,19.75514,177.4792,7.751725,352.894,183.4962,358.3002,352.894,183.4962,358.3002,11.63071,183.8175,0.3724115,11.63072,183.8175,0.3724117,11.95905,182.6618,356.9559,11.51108,171.4872,7.562009,357.4827,160.2222,20.75199,351.2228,192.6883,354.4894,0.4166892,197.2228,0.1829198,11.63072,183.8175,0.3724117,11.98937,169.1922,3.214764,12.02795,163.4039,356.9592,341.5976,182.4509,351.5916,
8,0.1666489,13.76947,181.808,357.7779,357.8187,214.0288,355.881,346.9163,185.426,350.3619,31.72075,172.2763,7.168362,3.758672,169.3909,355.567,357.5932,151.5782,355.4203,352.9192,181.1206,3.3798,59.59858,155.0715,334.3519,19.75514,178.156,7.751719,352.8985,183.5608,358.3084,352.8985,183.5608,358.3084,11.64447,183.9134,0.3902653,11.64447,183.9134,0.3902655,11.96088,182.1359,357.2979,11.55129,172.004,7.306588,357.4833,160.2225,20.81587,351.2206,192.8963,354.4895,0.3776805,197.5538,0.1677831,11.64447,183.9134,0.3902655,12.01426,169.424,3.258272,12.06351,163.0576,356.8464,341.7418,182.4644,351.546,
9,0.177569,13.79202,181.8547,357.7924,357.8037,214.086,355.7896,346.8594,185.4968,350.2868,31.94811,172.321,7.274092,3.760555,169.3927,355.5663,357.9683,151.597,355.5349,353.189,181.1092,3.666396,59.93242,156.3042,334.5745,19.75513,179.0538,7.751719,352.9183,183.6219,358.3287,352.9183,183.6219,358.3287,11.68788,184.0125,0.4341428,11.68788,184.0125,0.4341428,11.99956,181.9582,357.5107,11.60855,172.2756,7.114535,357.5787,160.2228,20.83202,351.2481,193.0836,354.5124,0.3567397,197.8699,0.1413725,11.68788,184.0125,0.4341428,12.07181,169.7015,3.31098,12.1343,162.6194,356.7183,341.803,182.4839,351.55,
10,0.1887532,13.82519,181.8999,357.816,357.8176,214.1385,355.7543,346.8547,185.5567,350.2483,31.93508,172.3113,7.259302,3.761577,169.3943,355.5667,358.2496,151.6233,355.6216,353.3912,181.1131,3.881804,60.17464,157.3989,334.7559,19.75513,179.8794,7.751721,352.948,183.6738,358.3603,352.948,183.6738,358.3603,11.75032,184.1059,0.5015433,11.75032,184.1059,0.5015432,12.05623,181.4895,357.9053,11.70096,172.8091,6.746667,357.6356,160.2537,20.80519,351.2916,193.2341,354.5618,0.3456297,198.1435,0.1197212,11.75032,184.1059,0.5015432,12.148,169.9943,3.361235,12.22273,162.19,356.5875,341.7983,182.5011,351.5759,
