Frame,Time,m_avg_PelvisRotX,m_avg_PelvisRotY,m_avg_PelvisRotZ,m_avg_L_HipRotX,m_avg_L_HipRotY,m_avg_L_HipRotZ,m_avg_L_KneeRotX,m_avg_L_KneeRotY,m_avg_L_KneeRotZ,m_avg_L_AnkleRotX,m_avg_L_AnkleRotY,m_avg_L_AnkleRotZ,m_avg_L_FootRotX,m_avg_L_FootRotY,m_avg_L_FootRotZ,m_avg_R_HipRotX,m_avg_R_HipRotY,m_avg_R_HipRotZ,m_avg_R_KneeRotX,m_avg_R_KneeRotY,m_avg_R_KneeRotZ,m_avg_R_AnkleRotX,m_avg_R_AnkleRotY,m_avg_R_AnkleRotZ,m_avg_R_FootRotX,m_avg_R_FootRotY,m_avg_R_FootRotZ,m_avg_Spine1RotX,m_avg_Spine1RotY,m_avg_Spine1RotZ,m_avg_Spine2RotX,m_avg_Spine2RotY,m_avg_Spine2RotZ,m_avg_Spine3RotX,m_avg_Spine3RotY,m_avg_Spine3RotZ,m_avg_L_CollarRotX,m_avg_L_CollarRotY,m_avg_L_CollarRotZ,m_avg_L_ShoulderRotX,m_avg_L_ShoulderRotY,m_avg_L_ShoulderRotZ,m_avg_L_ElbowRotX,m_avg_L_ElbowRotY,m_avg_L_ElbowRotZ,m_avg_L_WristRotX,m_avg_L_WristRotY,m_avg_L_WristRotZ,m_avg_NeckRotX,m_avg_NeckRotY,m_avg_NeckRotZ,m_avg_HeadRotX,m_avg_HeadRotY,m_avg_HeadRotZ,m_avg_R_CollarRotX,m_avg_R_CollarRotY,m_avg_R_CollarRotZ,m_avg_R_ShoulderRotX,m_avg_R_ShoulderRotY,m_avg_R_ShoulderRotZ,m_avg_R_ElbowRotX,m_avg_R_ElbowRotY,m_avg_R_ElbowRotZ,m_avg_R_WristRotX,m_avg_R_WristRotY,m_avg_R_WristRotZ,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,0.02,3.083633,0.05759778,359.7387,357.4726,32.77281,326.9236,81.4496,25.24185,46.18936,4.780346,345.8287,356.1805,4.347716,345.8154,356.0135,5.13705,329.3303,36.15863,81.07456,43.35485,24.33286,358.4311,4.768622,0.5299015,358.4311,4.768626,0.5299042,356.2557,0.05510605,359.6722,356.2557,0.05510605,359.6722,7.291745,359.6516,1.015157,7.291745,359.6516,1.015157,3.680005,335.2219,319.4565,1.253923,332.6187,325.5662,16.8623,339.0031,18.55139,7.456694,1.080621,359.3107,-1.067217E-06,-6.670107E-08,6.113569E-07,7.291745,359.6516,1.015157,5.847997,19.67201,35.00993,2.620163,24.2257,30.76173,7.764177,8.504387,352.6729,
3,0.12,4.757769,0.08856003,359.5909,354.8274,34.98775,322.2603,77.60944,22.07209,43.34744,5.905371,345.8777,356.6015,4.35304,345.824,356.0009,2.875414,327.5096,40.17453,78.7877,22.9407,2.629416,358.4259,4.77143,0.5180231,358.4259,4.771424,0.5180232,355.3348,0.09884366,359.6004,355.3348,0.09884366,359.6004,14.35923,359.465,1.700335,14.35923,359.465,1.700335,9.79954,331.6862,319.5132,7.369643,329.0595,325.3428,17.01651,339.0017,18.55664,10.29781,1.214039,359.397,-2.561321E-06,-4.802477E-07,-1.054711E-07,14.35923,359.465,1.700335,11.6911,22.48121,34.43757,8.48973,27.11298,30.66511,7.731633,8.529019,352.645,
4,0.1455212,9.256937,359.6393,359.5725,0.2955045,31.45193,351.4983,9.772906,1.481207,0.7492194,12.91118,345.3185,359.3633,4.334738,344.8103,355.9843,5.672292,329.0902,355.6032,359.8702,358.3669,7.512134,4.578165,5.409897,359.1784,358.4168,4.768125,0.4953174,351.8347,359.1754,0.1564664,351.8347,359.1754,0.1564664,6.900357,358.8455,3.203996,6.900357,358.8455,3.203996,5.036122,5.361439,10.99907,6.259609,351.8466,3.341384,17.19017,339.1892,18.2131,348.7555,357.74,0.0555599,0.7573737,356.5664,4.000976,6.900357,358.8455,3.203996,4.484251,354.8229,347.3829,5.659311,0.2901403,343.2819,8.294377,8.475722,352.6954,
5,0.1528278,10.38223,359.6925,359.4725,0.7111576,31.59627,352.1771,8.332839,1.650396,359.9348,13.11349,345.0367,359.4524,4.326314,344.5098,355.9886,4.371353,328.9666,356.385,358.3546,358.1742,7.556172,5.820496,5.464391,358.8878,358.416,4.769611,0.4926106,352.6056,359.2753,0.07104068,352.6056,359.2753,0.07104068,10.11533,358.872,3.154106,10.11533,358.872,3.154106,8.14786,6.139597,11.09298,9.450183,353.0501,4.781115,17.17772,339.1633,18.27492,352.3271,358.3518,359.7305,0.7358338,356.8628,3.708004,10.11533,358.872,3.154106,7.422093,353.5355,346.471,8.670258,359.0191,342.6544,8.307932,8.485826,352.6846,
6,0.1588611,10.44568,359.6971,359.4613,1.069305,31.52999,352.6001,8.148378,1.599334,359.6736,12.96322,344.9445,359.3915,4.328386,344.4315,355.9894,4.301992,328.9606,356.4444,358.2652,358.1631,7.574057,6.09657,5.482796,358.8317,358.4161,4.767785,0.4960012,352.643,359.2876,0.05835354,352.643,359.2876,0.05835354,10.26683,358.8761,3.128578,10.26683,358.8761,3.128578,8.262502,6.262885,11.20588,9.593682,353.0442,4.811864,17.12782,339.1276,18.26639,352.4593,358.4109,359.6829,0.7131487,356.908,3.685606,10.26683,358.8761,3.128578,7.553972,353.4548,346.3974,8.808516,358.9388,342.5937,8.295867,8.489451,352.685,
7,0.1697598,10.46112,359.7029,359.4571,1.415115,31.46215,352.9947,8.013244,1.544642,359.4326,12.77227,344.8663,359.3157,4.326356,344.3705,355.9904,4.291297,328.9654,356.4436,358.2563,358.1682,7.568102,6.200851,5.487657,358.8112,358.4172,4.765758,0.498073,352.6506,359.2989,0.05332439,352.6506,359.2989,0.05332439,10.30513,358.887,3.117625,10.30513,358.887,3.117625,8.330432,6.196007,11.10614,9.646258,353.1322,4.962747,17.05741,339.117,18.27554,352.4868,358.4542,359.6626,0.6895474,356.9586,3.675697,10.30513,358.887,3.117625,7.584475,353.4447,346.3602,8.842394,358.9283,342.5595,8.25731,8.515079,352.726,
8,0.1810279,10.47517,359.7089,359.4541,2.020501,31.33781,353.7412,7.702078,1.448198,358.9886,12.31667,344.6964,359.1226,4.344593,344.241,355.9877,4.278111,328.9692,356.4599,358.2368,358.1705,7.575861,6.434177,5.505208,358.7616,358.4182,4.76513,0.4973837,352.6572,359.3096,0.049988,352.6572,359.3096,0.049988,10.33886,358.8984,3.110613,10.33886,358.8984,3.110613,8.34466,6.247338,11.18773,9.683935,353.0945,5.010594,16.92614,339.1193,18.31658,352.5103,358.4939,359.6484,0.6683012,357.0077,3.669401,10.33886,358.8984,3.110613,7.606667,353.4312,346.3063,8.869596,358.914,342.5078,8.243492,8.520798,352.7634,
9,0.1917242,10.50211,359.7135,359.45,2.790938,31.17993,354.8329,7.157551,1.337446,358.373,11.67429,344.5413,358.8609,4.342937,344.1395,355.9837,4.260853,328.9697,356.4855,358.2093,358.1687,7.589718,6.660914,5.525204,358.7145,358.4181,4.767006,0.4978877,352.6717,359.3188,0.04597961,352.6717,359.3188,0.04597961,10.40194,358.9055,3.099597,10.40194,358.9055,3.099597,8.422087,6.232723,11.12536,9.760304,353.1247,5.155678,16.81392,339.0876,18.40444,352.5599,358.5343,359.6313,0.6478719,357.0484,3.673128,10.40194,358.9055,3.099597,7.659308,353.4054,346.2609,8.926288,358.888,342.4676,8.260352,8.532286,352.7863,
10,0.20324,10.53035,359.7165,359.4439,3.611554,31.01949,356.1035,6.436466,1.235524,357.6704,10.94893,344.3941,358.5707,4.343837,344.0493,355.9841,4.229249,328.968,356.5134,358.1681,358.1646,7.598574,6.826808,5.534058,358.6803,358.4212,4.764317,0.4984643,352.6862,359.3268,0.03890104,352.6862,359.3268,0.03890104,10.46572,358.9088,3.082881,10.46572,358.9088,3.082881,8.52145,6.174254,10.97119,9.84042,353.2338,5.372189,16.71473,339.0513,18.50876,352.6084,358.5709,359.6043,0.6266935,357.0797,3.666706,10.46572,358.9088,3.082881,7.714231,353.3815,346.2181,8.985029,358.864,342.4302,8.27598,8.553506,352.7822,
