Frame,Time,m_avg_PelvisRotX,m_avg_PelvisRotY,m_avg_PelvisRotZ,m_avg_L_HipRotX,m_avg_L_HipRotY,m_avg_L_HipRotZ,m_avg_L_KneeRotX,m_avg_L_KneeRotY,m_avg_L_KneeRotZ,m_avg_L_AnkleRotX,m_avg_L_AnkleRotY,m_avg_L_AnkleRotZ,m_avg_L_FootRotX,m_avg_L_FootRotY,m_avg_L_FootRotZ,m_avg_R_HipRotX,m_avg_R_HipRotY,m_avg_R_HipRotZ,m_avg_R_KneeRotX,m_avg_R_KneeRotY,m_avg_R_KneeRotZ,m_avg_R_AnkleRotX,m_avg_R_AnkleRotY,m_avg_R_AnkleRotZ,m_avg_R_FootRotX,m_avg_R_FootRotY,m_avg_R_FootRotZ,m_avg_Spine1RotX,m_avg_Spine1RotY,m_avg_Spine1RotZ,m_avg_Spine2RotX,m_avg_Spine2RotY,m_avg_Spine2RotZ,m_avg_Spine3RotX,m_avg_Spine3RotY,m_avg_Spine3RotZ,m_avg_L_CollarRotX,m_avg_L_CollarRotY,m_avg_L_CollarRotZ,m_avg_L_ShoulderRotX,m_avg_L_ShoulderRotY,m_avg_L_ShoulderRotZ,m_avg_L_ElbowRotX,m_avg_L_ElbowRotY,m_avg_L_ElbowRotZ,m_avg_L_WristRotX,m_avg_L_WristRotY,m_avg_L_WristRotZ,m_avg_NeckRotX,m_avg_NeckRotY,m_avg_NeckRotZ,m_avg_HeadRotX,m_avg_HeadRotY,m_avg_HeadRotZ,m_avg_R_CollarRotX,m_avg_R_CollarRotY,m_avg_R_CollarRotZ,m_avg_R_ShoulderRotX,m_avg_R_ShoulderRotY,m_avg_R_ShoulderRotZ,m_avg_R_ElbowRotX,m_avg_R_ElbowRotY,m_avg_R_ElbowRotZ,m_avg_R_WristRotX,m_avg_R_WristRotY,m_avg_R_WristRotZ,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,0.02,3.083632,0.05759767,359.7387,355.815,33.34827,328.1317,73.75896,26.59019,48.29012,4.859716,347.095,356.5734,4.169713,347.0742,356.3091,2.58247,328.2021,37.0383,74.23312,25.1625,8.984525,357.5445,359.5822,358.2506,357.5445,359.5822,358.2506,356.2557,0.05510585,359.6722,356.2557,0.05510585,359.6722,7.291745,359.6516,1.015158,7.291745,359.6516,1.015158,4.729914,338.2861,320.4681,2.348923,335.6389,326.5265,20.1772,342.0107,14.03121,7.456667,1.080621,359.3107,-1.067217E-06,-1.000516E-07,5.611226E-07,7.291745,359.6516,1.015158,8.605742,9.540811,32.84884,5.541661,14.22979,28.84207,5.515427,354.9042,354.1771,
3,0.12,4.652894,0.08731301,359.5994,353.5777,35.30526,323.8819,70.75922,24.19967,45.80114,6.551124,347.166,357.2249,4.169358,347.0805,356.3102,0.485155,326.4461,40.38488,71.63113,14.94714,357.7697,357.5395,359.5811,358.2368,357.5395,359.5811,358.2368,355.3546,0.08826074,359.6114,355.3546,0.08826074,359.6114,13.89746,359.5363,1.879663,13.89746,359.5363,1.879663,10.60657,335.2268,320.5085,8.221112,332.5526,326.2928,20.33377,342.0797,13.89079,10.11831,1.056457,359.7618,1.707547E-06,-1.600826E-07,-2.272005E-07,13.89746,359.5363,1.879663,14.24414,11.99495,32.34539,11.2015,16.77994,28.81542,5.435614,354.8359,354.0898,
4,0.1436515,7.515051,359.7346,359.2128,0.1395016,31.437,349.9801,12.84653,1.333071,1.615024,12.62149,346.6868,359.6263,4.176951,346.2044,356.3332,5.149904,329.3372,355.7514,359.3424,358.6008,7.385382,3.421571,0.1150376,357.0751,357.5356,359.5417,358.2498,352.0425,359.5986,359.3529,352.0425,359.5986,359.3529,4.706657,359.0628,1.396357,4.706657,359.0628,1.396357,1.293492,8.748149,16.14133,3.043293,355.7258,1.082109,20.37173,341.0547,13.29503,346.6227,359.3254,356.8254,359.082,357.899,0.3187349,4.706657,359.0628,1.396357,1.880496,345.0179,351.2137,2.701481,350.5326,346.8496,5.546351,355.7476,355.7093,
5,0.15361,8.24798,359.7407,359.1507,0.5225125,31.43469,351.2087,10.55989,1.399888,0.539225,10.95436,346.345,358.9619,4.17994,345.9982,356.3337,3.387281,329.1711,356.7816,357.3026,358.3569,7.42142,3.9727,0.1089403,356.9543,357.5358,359.535,358.2596,352.3635,359.6172,359.3272,352.3635,359.6172,359.3272,7.502547,358.9681,1.497418,7.502547,358.9681,1.497418,3.499443,11.18807,16.63395,5.40557,357.6917,1.657243,20.47414,340.9902,13.41952,350.7363,359.5121,356.9486,359.02,357.8797,0.2636655,7.502547,358.9681,1.497418,4.359783,342.8461,350.5459,5.233371,348.3677,346.4232,5.588126,355.8343,355.7271,
6,0.1605718,8.288308,359.7337,359.1477,1.275546,31.24487,352.3124,9.992452,1.260789,359.9659,9.991799,346.1928,358.5836,4.178751,345.9149,356.3344,3.281121,329.1537,356.8389,357.182,358.3363,7.419584,4.142064,0.1146259,356.9202,357.5376,359.5311,358.2603,352.3698,359.608,359.3262,352.3698,359.608,359.3262,7.624966,358.9447,1.488852,7.624966,358.9447,1.488852,3.563209,11.3006,16.78761,5.49661,357.7389,1.634698,20.49824,340.9663,13.37443,350.8671,359.5026,356.9385,358.975,357.8274,0.293778,7.624966,358.9447,1.488852,4.466589,342.758,350.4995,5.344146,348.2798,346.3873,5.557054,355.854,355.7241,
7,0.1714736,8.302845,359.7296,359.1478,1.824862,31.11286,353.1314,9.552526,1.165451,359.5361,9.267361,346.0945,358.2993,4.18048,345.8642,356.3347,3.234277,329.1452,356.865,357.1284,358.3264,7.419519,4.215325,0.1164086,356.9064,357.5404,359.529,358.2613,352.3715,359.6018,359.3276,352.3715,359.6018,359.3276,7.666765,358.9325,1.48653,7.666765,358.9325,1.48653,3.576038,11.33278,16.88435,5.521801,357.7637,1.606198,20.45576,340.9472,13.26503,350.9098,359.4921,356.9391,358.9594,357.7958,0.3175531,7.666765,358.9325,1.48653,4.50012,342.7167,350.4758,5.379797,348.2385,346.3669,5.508316,355.8752,355.6708,
8,0.1829506,8.311167,359.7263,359.1474,2.726398,30.91063,354.5436,8.739051,1.027288,358.8112,8.088555,345.948,357.8392,4.180169,345.787,356.334,3.2004,329.1388,356.8847,357.0892,358.3188,7.42023,4.266955,0.1167696,356.8985,357.5427,359.5266,358.2637,352.3689,359.597,359.3279,352.3689,359.597,359.3279,7.68974,358.9229,1.483707,7.68974,358.9229,1.483707,3.582137,11.33227,16.95832,5.53846,357.7562,1.594339,20.41648,340.9297,13.19161,350.9256,359.4831,356.9369,358.9318,357.7706,0.3314679,7.68974,358.9229,1.483707,4.519927,342.7051,350.4619,5.40084,348.2269,346.3549,5.491311,355.8961,355.5787,
9,0.1936721,8.329066,359.7212,359.1432,3.676788,30.71833,356.1164,7.735165,0.9062029,358.0018,6.866218,345.8132,357.3667,4.179737,345.7139,356.3347,3.200315,329.131,356.9017,357.0808,358.3092,7.435014,4.21611,0.1195087,356.9068,357.5376,359.5312,358.2621,352.3693,359.5915,359.3229,352.3693,359.5915,359.3229,7.741171,358.9074,1.468999,7.741171,358.9074,1.468999,3.597963,11.36555,17.08394,5.5778,357.667,1.499282,20.36198,340.8945,13.17441,350.9741,359.4786,356.9129,358.9012,357.7368,0.3320047,7.741171,358.9074,1.468999,4.572305,342.6902,350.4592,5.453241,348.2124,346.3574,5.534469,355.9209,355.5339,
10,0.2047459,8.345696,359.7161,359.1392,4.489559,30.57111,357.5398,6.785715,0.8219738,357.298,5.824691,345.7118,356.9641,4.177763,345.6567,356.3326,3.216367,329.1223,356.9321,357.08,358.2971,7.469395,4.173521,0.1046597,356.908,357.5298,359.5347,358.2628,352.3674,359.5857,359.3182,352.3674,359.5857,359.3182,7.78743,358.8922,1.456519,7.78743,358.8922,1.456519,3.622414,11.431,17.10944,5.612489,357.6588,1.481206,20.36663,340.8719,13.23597,351.0123,359.4712,356.8922,358.8622,357.7018,0.331955,7.78743,358.8922,1.456519,4.62153,342.6466,350.477,5.500526,348.1695,346.3798,5.576055,355.9268,355.5125,
